位置 (米 m) 运行#1,相对强度 运行#1,位置 (米 m) 运行#2,相对强度 运行#2,位置 (米 m) 运行#3,相对强度 运行#3,位置 (米 m) 运行#4,相对强度 运行#4
-1.5780E-4,0.050552,-1.9725E-5,0.039261,0.0000,0.022781,-1.9725E-5,0.023392
-1.5780E-4,0.049438,-1.9725E-5,0.040680,0.0000,0.021667,-3.9450E-5,0.021759
-1.5780E-4,0.054306,-1.9725E-5,0.037735,0.0000,0.024811,-3.9450E-5,0.024200
-1.5780E-4,0.056549,-3.9450E-5,0.037735,0.0000,0.023193,-5.9175E-5,0.025330
-1.5780E-4,0.048309,-3.9450E-5,0.037537,0.0000,0.022675,-5.9175E-5,0.021759
-1.5780E-4,0.048920,-5.9175E-5,0.040070,0.0000,0.022171,-7.8900E-5,0.024002
-1.5780E-4,0.053406,-7.8900E-5,0.039154,0.0000,0.022888,-9.8625E-5,0.023392
-1.5780E-4,0.055435,-7.8900E-5,0.038651,0.0000,0.025833,-9.8625E-5,0.023193
-1.5780E-4,0.049332,-9.8625E-5,0.038345,0.0000,0.025330,-1.1835E-4,0.022369
-1.5780E-4,0.052185,-9.8625E-5,0.039566,0.0000,0.022980,-1.1835E-4,0.021454
-1.5780E-4,0.053192,-1.1835E-4,0.039673,0.0000,0.023697,-1.3808E-4,0.025528
-1.5780E-4,0.056458,-1.1835E-4,0.037537,0.0000,0.023590,-1.3808E-4,0.025620
-1.5780E-4,0.048920,-1.1835E-4,0.040070,0.0000,0.026138,-1.3808E-4,0.022476
-1.5780E-4,0.047607,-1.1835E-4,0.040588,0.0000,0.023499,-1.3808E-4,0.022369
-1.5780E-4,0.053909,-1.3808E-4,0.039261,0.0000,0.023590,-1.1835E-4,0.023804
-1.5780E-4,0.055634,-1.3808E-4,0.037842,0.0000,0.024307,-1.1835E-4,0.024414
-1.5780E-4,0.048828,-1.3808E-4,0.041199,0.0000,0.024002,-1.1835E-4,0.022278
-1.5780E-4,0.051880,-1.3808E-4,0.040787,0.0000,0.022278,-1.1835E-4,0.021667
-1.5780E-4,0.055237,-1.3808E-4,0.039764,0.0000,0.022171,-1.1835E-4,0.024414
