datetime,temperature,humidity,wind_speed,PM2.5,PM10,O3,NO2,SO2,CO
2026-03-23 02:00:00,9.0,100,7.6,64.4,85.08666666666667,59.013333333333335,40.93999999999999,2.0,0.5613333333333334
2026-03-23 03:00:00,8.9,100,7.3,65.24666666666667,85.22666666666667,58.02666666666667,40.993333333333325,2.0,0.606
2026-03-23 04:00:00,9.1,100,5.0,64.15333333333334,85.11333333333334,58.56666666666667,40.30666666666666,2.0,0.506
2026-03-23 05:00:00,9.7,99,4.5,60.96,82.53333333333335,61.92,37.43999999999999,2.0,0.4226666666666667
2026-03-23 06:00:00,10.9,92,4.6,56.96,77.92666666666668,68.72,32.71999999999999,2.0,0.3393333333333334
2026-03-23 07:00:00,12.5,85,5.8,52.96,69.82666666666668,75.52,27.999999999999993,2.0,0.25800000000000006
2026-03-23 08:00:00,14.1,78,4.7,48.96,61.71333333333335,82.32,23.22666666666666,2.1866666666666665,0.18066666666666675
2026-03-23 09:00:00,15.7,71,3.1,44.96,53.493333333333354,89.22,18.453333333333326,2.373333333333333,0.10333333333333342
2026-03-23 10:00:00,17.1,65,2.4,40.96,45.40666666666669,96.2,13.679999999999993,2.5599999999999996,0.026000000000000086
2026-03-23 11:00:00,18.2,60,5.5,36.96,41.10666666666669,91.45,24.483333333333334,2.6599999999999997,0.3
2026-03-23 12:00:00,18.9,57,8.2,33.766666666666666,36.880000000000024,95.43,22.2,2.76,0.26
2026-03-23 13:00:00,19.2,56,10.8,32.766666666666666,34.593333333333355,98.65,21.2,2.8066666666666666,0.25
2026-03-23 14:00:00,19.3,55,12.2,32.38,34.44000000000002,98.81666666666668,20.56,2.8533333333333335,0.22133333333333335
2026-03-23 15:00:00,19.0,57,12.5,33.38,36.36666666666669,97.81666666666668,21.56,2.9000000000000004,0.2566666666666667
2026-03-23 16:00:00,18.2,60,12.4,36.38,40.36666666666669,93.35000000000001,24.56,2.9933333333333336,0.3566666666666667
2026-03-23 17:00:00,16.9,66,12.5,40.68666666666667,46.14000000000002,87.79,29.02,3.406666666666667,0.45533333333333337
2026-03-23 18:00:00,15.2,74,11.1,46.22666666666667,54.32666666666669,80.19666666666667,35.166666666666664,3.406666666666667,0.5553333333333333
2026-03-23 19:00:00,13.5,82,9.5,52.03333333333333,62.65333333333336,73.95666666666668,41.166666666666664,3.406666666666667,0.5733333333333334
2026-03-23 20:00:00,12.0,88,8.9,56.22666666666667,68.51333333333336,69.05666666666667,45.50666666666666,3.406666666666667,0.5853333333333334
2026-03-23 21:00:00,10.9,92,10.9,58.27333333333333,71.55333333333337,67.05666666666667,47.57999999999999,3.406666666666667,0.6753333333333333
2026-03-23 22:00:00,10.2,96,8.7,60.32,74.59333333333338,65.05666666666667,49.65333333333332,3.406666666666667,0.7486666666666667
2026-03-23 23:00:00,9.8,98,7.1,62.86666666666667,83.92,61.0,37.986666666666665,2.0,0.48733333333333334
2026-03-24 00:00:00,9.5,100,5.6,63.72666666666667,85.07333333333334,60.0,38.97333333333333,2.0,0.5106666666666666
2026-03-24 01:00:00,9.3,100,3.6,64.58,86.11333333333334,59.0,39.959999999999994,2.0,0.5573333333333332
2026-03-24 02:00:00,9.1,100,3.0,65.39333333333333,87.07333333333334,58.0,40.94666666666666,2.0,0.5706666666666667
2026-03-24 03:00:00,9.0,100,2.4,66.22666666666666,87.21333333333334,57.013333333333335,40.99999999999999,2.0,0.6653333333333332
2026-03-24 04:00:00,9.2,100,1.6,65.13333333333333,87.10000000000001,57.553333333333335,40.30666666666666,2.0,0.5653333333333332
2026-03-24 05:00:00,9.8,99,1.3,61.93999999999999,84.52000000000001,60.906666666666666,37.43999999999999,2.0,0.46533333333333327
2026-03-24 06:00:00,11.0,92,2.3,57.93999999999999,79.91333333333334,67.70666666666666,32.71999999999999,2.0,0.38199999999999995
2026-03-24 07:00:00,12.6,85,3.6,53.93999999999999,71.81333333333335,74.50666666666666,27.999999999999993,2.0,0.30066666666666664
2026-03-24 08:00:00,14.2,78,4.3,49.93999999999999,63.713333333333345,81.30666666666666,23.22666666666666,2.0,0.21933333333333332
2026-03-24 09:00:00,15.8,71,4.4,45.93999999999999,55.49333333333335,88.20666666666666,18.453333333333326,2.0,0.142
2026-03-24 10:00:00,17.2,65,2.2,41.93999999999999,47.48000000000001,95.18666666666667,13.679999999999993,2.1733333333333333,0.06466666666666668
2026-03-24 11:00:00,18.3,60,1.3,37.93999999999999,43.253333333333345,91.45,24.483333333333334,2.2733333333333334,0.3
2026-03-24 12:00:00,19.0,57,1.1,34.746666666666655,39.10000000000001,95.46333333333334,22.2,2.3733333333333335,0.26
2026-03-24 13:00:00,19.3,56,4.0,33.746666666666655,36.87333333333334,98.71666666666667,21.2,2.4200000000000004,0.25
2026-03-24 14:00:00,19.4,55,7.9,33.35999999999999,36.720000000000006,98.88333333333334,20.56,2.4666666666666672,0.22066666666666665
2026-03-24 15:00:00,19.1,57,9.2,34.35999999999999,38.646666666666675,97.88333333333334,21.56,2.513333333333334,0.256
2026-03-24 16:00:00,18.3,60,10.5,37.35999999999999,42.646666666666675,93.41666666666667,24.56,2.6066666666666674,0.356
2026-03-24 17:00:00,17.0,66,10.7,41.673333333333325,48.27333333333334,87.85666666666667,29.02,3.0066666666666673,0.45466666666666666
2026-03-24 18:00:00,15.3,74,8.6,47.206666666666656,56.46000000000001,80.17,35.166666666666664,3.0066666666666673,0.5546666666666668
